year,kindergarten,year_1,year_2,year_3,year_4,year_5,year_6,K-Yr6
1997,24.1,25.5,26.2,26.6,26.8,26.8,26.8,26.9
2004,22.1,24.6,25.4,26.4,26.6,26.8,26.8,26.2
2005,19.7,23.6,25.1,26.1,26.4,26.6,26.7,25.3
2006,19.3,21.3,24.1,25.9,26.4,26.6,26.6,24.6
2007,19.2,21.1,22.6,25.7,26.2,26.5,26.5,24.3
2008,19.2,21.2,22.5,25.7,26.1,26.5,26.5,24.2
2009,19.3,21.3,22.6,25.8,26.2,26.5,26.5,24.3
2010,19.2,21.2,22.7,25.6,26.2,26.4,26.4,24.2
2011,19.2,21.2,22.6,25.7,26.1,26.4,26.3,24.0
2012,19.3,21.2,22.7,25.5,25.9,26.2,26.2,24.0
2013,19.4,21.3,22.7,25.6,25.9,26.3,26.1,24.0
2014,19.3,21.4,22.7,25.6,25.9,26.2,26.2,24.0
2015,19.2,21.3,22.7,25.9,26.2,26.5,26.4,24.1
2016,19.1,21.3,22.6,25.9,26.2,26.3,26.3,24.1
2017,19.1,21.3,22.5,25.7,26.1,26.4,26.4,24.1
2018,19.1,21.4,22.5,25.8,26.1,26.4,26.4,24.1
